"","Character","speaking_turns","Total_Words","Gender","radius","diameter"
"1","Agent",1,16,"male",4,8
"2","Aunt May",8,51,"female",7.14142842854285,14.2828568570857
"3","Bad Guy #1",2,15,"male",3.87298334620742,7.74596669241483
"4","Bad Guy #2",1,3,"male",1.73205080756888,3.46410161513775
"5","Bodyguard",1,6,"female",2.44948974278318,4.89897948556636
"6","Bucky",47,340,"male",18.4390889145858,36.8781778291715
"7","Clint",26,274,"male",16.5529453572468,33.1058907144937
"8","Cop",2,12,"male",3.46410161513775,6.92820323027551
"9","Delivery",1,1,"male",1,2
"10","Delivery Man",2,6,"male",2.44948974278318,4.89897948556636
"11","Everett Ross",6,127,"male",11.2694276695846,22.5388553391693
"12","Friday",17,153,"female",12.369316876853,24.738633753706
"13","Front Desk Woman",1,9,"female",3,6
"14","Guard",1,13,"male",3.60555127546399,7.21110255092798
"15","Guy on PA system",1,10,"male",3.16227766016838,6.32455532033676
"16","Howard",6,66,"male",8.12403840463596,16.2480768092719
"17","LAGOS",1,2,"male",1.4142135623731,2.82842712474619
"18","Mailman",1,4,"male",2,4
"19","Man",3,6,"male",2.44948974278318,4.89897948556636
"20","Maria",5,83,"female",9.1104335791443,18.2208671582886
"21","MESSAGE INBOX",1,2,"male",1.4142135623731,2.82842712474619
"22","Miriam",4,114,"female",10.6770782520313,21.3541565040626
"23","Natasha",64,551,"female",23.473389188611,46.946778377222
"24","Other Winter Soldier",1,2,"male",1.4142135623731,2.82842712474619
"25","Peter",66,671,"male",25.9036676939772,51.8073353879545
"26","Preacher",1,17,"male",4.12310562561766,8.24621125123532
"27","Receptionist",2,11,"female",3.3166247903554,6.6332495807108
"28","Reporter",7,159,"male",12.6095202129185,25.219040425837
"29","Rhodey",22,274,"male",16.5529453572468,33.1058907144937
"30","Room Service Lady",5,49,"female",7,14
"31","Rumlow",8,125,"male",11.1803398874989,22.3606797749979
"32","Sam",63,489,"male",22.113344387496,44.226688774992
"33","Scott",23,244,"male",15.6204993518133,31.2409987036266
"34","Secretary Ross",17,353,"male",18.7882942280559,37.5765884561119
"35","Sharon",22,359,"female",18.9472953214964,37.8945906429928
"36","Steve",154,1404,"male",37.4699879903904,74.9399759807808
"37","T'Chaka",8,174,"male",13.1909059582729,26.3818119165458
"38","T'Challa",28,294,"male",17.1464281994822,34.2928563989645
"39","Teacher Man",3,62,"male",7.87400787401181,15.7480157480236
"40","Text Message",1,5,"male",2.23606797749979,4.47213595499958
"41","Tony",162,2267,"male",47.6130234284697,95.2260468569393
"42","Vasily Karpov",10,56,"male",7.48331477354788,14.9666295470958
"43","Vision",27,347,"male",18.6279360101972,37.2558720203943
"44","Wanda",31,200,"female",14.142135623731,28.2842712474619
"45","Woman",1,23,"female",4.79583152331272,9.59166304662544
"46","Zemo",31,587,"male",24.2280828791714,48.4561657583429
"47","Zemo's Wife",2,47,"female",6.85565460040104,13.7113092008021
